,0
10,5 individual(s) listed in this SNAP application.  0 people in the household over 60. 0.0 people in the household with a disability.Household is categorically eligible for SNAP through TANF categorical eligiblity..[Household is homeless] Household spends 367 on shelter expenses. Household spends 0.0 on dependent care. Household receives 0 in child support. Household pays 322 in utilities. The total gross income was: 855. while the net income was: 593.0 That gross and net income were calculated with multiple factors. the reported gross and net income were 854 and 592 respectively.  Income was determined by various inputs. including wages (0). earned income (0). self employment income (0). other earned income (0). income from contributions (0). child support (42). unearned income (855). other unearned income (0). deemed income (0). income from education grants and loans (0). and income for families participating in foster care (0) Some payments may come from employers that are not part of regular wages. For this household. they received workers compensation (0). and wage supplementation (0) It also takes any government benefit payments into account. such as earned income tax credit (0). energy assistance (0). general assistance programs (0). social security (308). supplemental security benefits (ssi) (i.e. disability benefits) (0). countable payments through temporary assistance for needy families (tanf) (505). unemployment insurance (0). veterans benefits (0). diversion payment (0). and any other government benefits (0).  A households assets are also taken into account. The total assets were determined to be 0.  The value of vehicles was determined to be 0.  It also includes reported liquid assets (0.0). countable liquid assets (0.0). reported other nonliquid assets (0). countable other nonliquid assets (0). reported real property (0). and countable real property (0). 
11,1 individual(s) listed in this SNAP application.  1 people in the household over 60. 0 people in the household with a disability.Household is not categorically eligible through TANF.[Household is homeless] Household spends 772 on shelter expenses. Household spends 0.0 on dependent care. Household receives 0 in child support. Household pays 322 in utilities. The total gross income was: 814. while the net income was: 183.0 That gross and net income were calculated with multiple factors. the reported gross and net income were 814 and 184 respectively.  Income was determined by various inputs. including wages (0). earned income (0). self employment income (0). other earned income (0). income from contributions (0). child support (0). unearned income (814). other unearned income (0). deemed income (0). income from education grants and loans (0). and income for families participating in foster care (0) Some payments may come from employers that are not part of regular wages. For this household. they received workers compensation (0). and wage supplementation (0) It also takes any government benefit payments into account. such as earned income tax credit (0). energy assistance (0). general assistance programs (0). social security (721). supplemental security benefits (ssi) (i.e. disability benefits) (93). countable payments through temporary assistance for needy families (tanf) (0). unemployment insurance (0). veterans benefits (0). diversion payment (0). and any other government benefits (0).  A households assets are also taken into account. The total assets were determined to be 0.  The value of vehicles was determined to be 0.  It also includes reported liquid assets (0.0). countable liquid assets (0.0). reported other nonliquid assets (0). countable other nonliquid assets (0). reported real property (0). and countable real property (0). 
12,1 individual(s) listed in this SNAP application.  0 people in the household over 60. 1 people in the household with a disability.Household is not categorically eligible through TANF.[Household is homeless] Household spends 622 on shelter expenses. Household spends 0.0 on dependent care. Household receives 0 in child support. Household pays 72 in utilities. The total gross income was: 794. while the net income was: 303.0 That gross and net income were calculated with multiple factors. the reported gross and net income were 794 and 376 respectively.  Income was determined by various inputs. including wages (0). earned income (0). self employment income (0). other earned income (0). income from contributions (0). child support (0). unearned income (794). other unearned income (0). deemed income (0). income from education grants and loans (0). and income for families participating in foster care (0) Some payments may come from employers that are not part of regular wages. For this household. they received workers compensation (0). and wage supplementation (0) It also takes any government benefit payments into account. such as earned income tax credit (0). energy assistance (0). general assistance programs (0). social security (0). supplemental security benefits (ssi) (i.e. disability benefits) (794). countable payments through temporary assistance for needy families (tanf) (0). unemployment insurance (0). veterans benefits (0). diversion payment (0). and any other government benefits (0).  A households assets are also taken into account. The total assets were determined to be 0.  The value of vehicles was determined to be 0.  It also includes reported liquid assets (0.0). countable liquid assets (0.0). reported other nonliquid assets (0). countable other nonliquid assets (0). reported real property (0). and countable real property (0). 
13,1 individual(s) listed in this SNAP application.  1 people in the household over 60. 0 people in the household with a disability.Household is not categorically eligible through TANF.[Household is homeless] Household spends 1658 on shelter expenses. Household spends 0.0 on dependent care. Household receives 0 in child support. Household pays 322 in utilities. The total gross income was: 2553. while the net income was: 1153.0 That gross and net income were calculated with multiple factors. the reported gross and net income were 2554 and 1153 respectively.  Income was determined by various inputs. including wages (2512). earned income (2512). self employment income (0). other earned income (0). income from contributions (0). child support (0). unearned income (41). other unearned income (41). deemed income (0). income from education grants and loans (0). and income for families participating in foster care (0) Some payments may come from employers that are not part of regular wages. For this household. they received workers compensation (0). and wage supplementation (0) It also takes any government benefit payments into account. such as earned income tax credit (0). energy assistance (0). general assistance programs (0). social security (0). supplemental security benefits (ssi) (i.e. disability benefits) (0). countable payments through temporary assistance for needy families (tanf) (0). unemployment insurance (0). veterans benefits (0). diversion payment (0). and any other government benefits (0).  A households assets are also taken into account. The total assets were determined to be 0.  The value of vehicles was determined to be 0.  It also includes reported liquid assets (0.0). countable liquid assets (0.0). reported other nonliquid assets (0). countable other nonliquid assets (0). reported real property (0). and countable real property (0). 
14,2 individual(s) listed in this SNAP application.  0 people in the household over 60. 0.0 people in the household with a disability.Household is not categorically eligible through TANF.[Household is homeless] Household spends 1346 on shelter expenses. Household spends 0.0 on dependent care. Household receives 0 in child support. Household pays 322 in utilities. The total gross income was: 0. while the net income was: 0.0 That gross and net income were calculated with multiple factors. the reported gross and net income were 0 and 0 respectively.  Income was determined by various inputs. including wages (0). earned income (0). self employment income (0). other earned income (0). income from contributions (0). child support (0). unearned income (0). other unearned income (0). deemed income (0). income from education grants and loans (0). and income for families participating in foster care (0) Some payments may come from employers that are not part of regular wages. For this household. they received workers compensation (0). and wage supplementation (0) It also takes any government benefit payments into account. such as earned income tax credit (0). energy assistance (0). general assistance programs (0). social security (0). supplemental security benefits (ssi) (i.e. disability benefits) (0). countable payments through temporary assistance for needy families (tanf) (0). unemployment insurance (0). veterans benefits (0). diversion payment (0). and any other government benefits (0).  A households assets are also taken into account. The total assets were determined to be 0.  The value of vehicles was determined to be 0.  It also includes reported liquid assets (0.0). countable liquid assets (0.0). reported other nonliquid assets (0). countable other nonliquid assets (0). reported real property (0). and countable real property (0). 
15,1 individual(s) listed in this SNAP application.  0 people in the household over 60. 0 people in the household with a disability.Household is not categorically eligible through TANF.[Household is homeless] Household spends 2622 on shelter expenses. Household spends 0.0 on dependent care. Household receives 0 in child support. Household pays 322 in utilities. The total gross income was: 0. while the net income was: 0.0 That gross and net income were calculated with multiple factors. the reported gross and net income were 0 and 0 respectively.  Income was determined by various inputs. including wages (0). earned income (0). self employment income (0). other earned income (0). income from contributions (0). child support (0). unearned income (0). other unearned income (0). deemed income (0). income from education grants and loans (0). and income for families participating in foster care (0) Some payments may come from employers that are not part of regular wages. For this household. they received workers compensation (0). and wage supplementation (0) It also takes any government benefit payments into account. such as earned income tax credit (0). energy assistance (0). general assistance programs (0). social security (0). supplemental security benefits (ssi) (i.e. disability benefits) (0). countable payments through temporary assistance for needy families (tanf) (0). unemployment insurance (0). veterans benefits (0). diversion payment (0). and any other government benefits (0).  A households assets are also taken into account. The total assets were determined to be 0.  The value of vehicles was determined to be 0.  It also includes reported liquid assets (0.0). countable liquid assets (0.0). reported other nonliquid assets (0). countable other nonliquid assets (0). reported real property (0). and countable real property (0). 
16,2 individual(s) listed in this SNAP application.  0 people in the household over 60. 1.0 people in the household with a disability.Household is not categorically eligible through TANF.[Household is homeless] Household spends 484 on shelter expenses. Household spends 0.0 on dependent care. Household receives 0 in child support. Household pays 322 in utilities. The total gross income was: 1343. while the net income was: 1166.0 That gross and net income were calculated with multiple factors. the reported gross and net income were 1343 and 1166 respectively.  Income was determined by various inputs. including wages (0). earned income (0). self employment income (0). other earned income (0). income from contributions (0). child support (0). unearned income (1343). other unearned income (0). deemed income (0). income from education grants and loans (0). and income for families participating in foster care (0) Some payments may come from employers that are not part of regular wages. For this household. they received workers compensation (0). and wage supplementation (0) It also takes any government benefit payments into account. such as earned income tax credit (0). energy assistance (0). general assistance programs (0). social security (940). supplemental security benefits (ssi) (i.e. disability benefits) (403). countable payments through temporary assistance for needy families (tanf) (0). unemployment insurance (0). veterans benefits (0). diversion payment (0). and any other government benefits (0).  A households assets are also taken into account. The total assets were determined to be 0.  The value of vehicles was determined to be 0.  It also includes reported liquid assets (0.0). countable liquid assets (0.0). reported other nonliquid assets (0). countable other nonliquid assets (0). reported real property (0). and countable real property (0). 
17,2 individual(s) listed in this SNAP application.  0 people in the household over 60. 1.0 people in the household with a disability.Household is not categorically eligible through TANF.[Household is homeless] Household spends 659 on shelter expenses. Household spends 0.0 on dependent care. Household receives 0 in child support. Household pays 322 in utilities. The total gross income was: 1695. while the net income was: 1518.0 That gross and net income were calculated with multiple factors. the reported gross and net income were 1696 and 1519 respectively.  Income was determined by various inputs. including wages (0). earned income (0). self employment income (0). other earned income (0). income from contributions (0). child support (0). unearned income (1695). other unearned income (0). deemed income (0). income from education grants and loans (0). and income for families participating in foster care (0) Some payments may come from employers that are not part of regular wages. For this household. they received workers compensation (0). and wage supplementation (0) It also takes any government benefit payments into account. such as earned income tax credit (0). energy assistance (0). general assistance programs (0). social security (926). supplemental security benefits (ssi) (i.e. disability benefits) (0). countable payments through temporary assistance for needy families (tanf) (0). unemployment insurance (769). veterans benefits (0). diversion payment (0). and any other government benefits (0).  A households assets are also taken into account. The total assets were determined to be 0.  The value of vehicles was determined to be 0.  It also includes reported liquid assets (0.0). countable liquid assets (0.0). reported other nonliquid assets (0). countable other nonliquid assets (0). reported real property (0). and countable real property (0). 
18,2 individual(s) listed in this SNAP application.  1 people in the household over 60. 0.0 people in the household with a disability.Household is not categorically eligible through TANF.[Household is not homeless] Household spends 322 on shelter expenses. Household spends 0.0 on dependent care. Household receives 0 in child support. Household pays 322 in utilities. The total gross income was: 529. while the net income was: 206.0 That gross and net income were calculated with multiple factors. the reported gross and net income were 529 and 207 respectively.  Income was determined by various inputs. including wages (0). earned income (0). self employment income (0). other earned income (0). income from contributions (0). child support (0). unearned income (529). other unearned income (0). deemed income (0). income from education grants and loans (0). and income for families participating in foster care (0) Some payments may come from employers that are not part of regular wages. For this household. they received workers compensation (0). and wage supplementation (0) It also takes any government benefit payments into account. such as earned income tax credit (0). energy assistance (0). general assistance programs (0). social security (303). supplemental security benefits (ssi) (i.e. disability benefits) (226). countable payments through temporary assistance for needy families (tanf) (0). unemployment insurance (0). veterans benefits (0). diversion payment (0). and any other government benefits (0).  A households assets are also taken into account. The total assets were determined to be 0.  The value of vehicles was determined to be 0.  It also includes reported liquid assets (0.0). countable liquid assets (0.0). reported other nonliquid assets (0). countable other nonliquid assets (0). reported real property (0). and countable real property (0). 
19,8 individual(s) listed in this SNAP application.  0 people in the household over 60. 0.0 people in the household with a disability.Household is categorically eligible for SNAP through TANF categorical eligiblity..[Household is homeless] Household spends 322 on shelter expenses. Household spends 0.0 on dependent care. Household receives 0 in child support. Household pays 322 in utilities. The total gross income was: 1398. while the net income was: 1152.0 That gross and net income were calculated with multiple factors. the reported gross and net income were 1398 and 1152 respectively.  Income was determined by various inputs. including wages (0). earned income (0). self employment income (0). other earned income (0). income from contributions (0). child support (0). unearned income (1398). other unearned income (0). deemed income (0). income from education grants and loans (0). and income for families participating in foster care (0) Some payments may come from employers that are not part of regular wages. For this household. they received workers compensation (0). and wage supplementation (0) It also takes any government benefit payments into account. such as earned income tax credit (0). energy assistance (0). general assistance programs (0). social security (0). supplemental security benefits (ssi) (i.e. disability benefits) (0). countable payments through temporary assistance for needy families (tanf) (1398). unemployment insurance (0). veterans benefits (0). diversion payment (0). and any other government benefits (0).  A households assets are also taken into account. The total assets were determined to be 0.  The value of vehicles was determined to be 0.  It also includes reported liquid assets (0.0). countable liquid assets (0.0). reported other nonliquid assets (0). countable other nonliquid assets (0). reported real property (0). and countable real property (0). 
20,2 individual(s) listed in this SNAP application.  0 people in the household over 60. 0.0 people in the household with a disability.Household is not categorically eligible through TANF.[Household is homeless] Household spends 0 on shelter expenses. Household spends 0.0 on dependent care. Household receives 0 in child support. Household pays 0 in utilities. The total gross income was: 0. while the net income was: 0.0 That gross and net income were calculated with multiple factors. the reported gross and net income were 0 and 0 respectively.  Income was determined by various inputs. including wages (0). earned income (0). self employment income (0). other earned income (0). income from contributions (0). child support (0). unearned income (0). other unearned income (0). deemed income (0). income from education grants and loans (0). and income for families participating in foster care (0) Some payments may come from employers that are not part of regular wages. For this household. they received workers compensation (0). and wage supplementation (0) It also takes any government benefit payments into account. such as earned income tax credit (0). energy assistance (0). general assistance programs (0). social security (0). supplemental security benefits (ssi) (i.e. disability benefits) (0). countable payments through temporary assistance for needy families (tanf) (0). unemployment insurance (0). veterans benefits (0). diversion payment (0). and any other government benefits (0).  A households assets are also taken into account. The total assets were determined to be 0.  The value of vehicles was determined to be 0.  It also includes reported liquid assets (0.0). countable liquid assets (0.0). reported other nonliquid assets (0). countable other nonliquid assets (0). reported real property (0). and countable real property (0). 
21,3 individual(s) listed in this SNAP application.  0 people in the household over 60. 0.0 people in the household with a disability.Household is not categorically eligible through TANF.[Household is homeless] Household spends 322 on shelter expenses. Household spends 0.0 on dependent care. Household receives 0 in child support. Household pays 322 in utilities. The total gross income was: 1710. while the net income was: 1533.0 That gross and net income were calculated with multiple factors. the reported gross and net income were 1710 and 1533 respectively.  Income was determined by various inputs. including wages (0). earned income (0). self employment income (0). other earned income (0). income from contributions (0). child support (0). unearned income (1710). other unearned income (0). deemed income (0). income from education grants and loans (0). and income for families participating in foster care (1710) Some payments may come from employers that are not part of regular wages. For this household. they received workers compensation (0). and wage supplementation (0) It also takes any government benefit payments into account. such as earned income tax credit (0). energy assistance (0). general assistance programs (0). social security (0). supplemental security benefits (ssi) (i.e. disability benefits) (0). countable payments through temporary assistance for needy families (tanf) (0). unemployment insurance (0). veterans benefits (0). diversion payment (0). and any other government benefits (0).  A households assets are also taken into account. The total assets were determined to be 0.  The value of vehicles was determined to be 0.  It also includes reported liquid assets (0.0). countable liquid assets (0.0). reported other nonliquid assets (0). countable other nonliquid assets (0). reported real property (0). and countable real property (0). 
22,1 individual(s) listed in this SNAP application.  0 people in the household over 60. 1 people in the household with a disability.Household is not categorically eligible through TANF.[Household is homeless] Household spends 322 on shelter expenses. Household spends 0.0 on dependent care. Household receives 0 in child support. Household pays 322 in utilities. The total gross income was: 651. while the net income was: 389.0 That gross and net income were calculated with multiple factors. the reported gross and net income were 652 and 390 respectively.  Income was determined by various inputs. including wages (0). earned income (0). self employment income (0). other earned income (0). income from contributions (0). child support (0). unearned income (651). other unearned income (0). deemed income (0). income from education grants and loans (0). and income for families participating in foster care (0) Some payments may come from employers that are not part of regular wages. For this household. they received workers compensation (0). and wage supplementation (0) It also takes any government benefit payments into account. such as earned income tax credit (0). energy assistance (0). general assistance programs (0). social security (0). supplemental security benefits (ssi) (i.e. disability benefits) (651). countable payments through temporary assistance for needy families (tanf) (0). unemployment insurance (0). veterans benefits (0). diversion payment (0). and any other government benefits (0).  A households assets are also taken into account. The total assets were determined to be 0.  The value of vehicles was determined to be 0.  It also includes reported liquid assets (0.0). countable liquid assets (0.0). reported other nonliquid assets (0). countable other nonliquid assets (0). reported real property (0). and countable real property (0). 
23,1 individual(s) listed in this SNAP application.  0 people in the household over 60. 0 people in the household with a disability.Household is not categorically eligible through TANF.[Household is homeless] Household spends 0 on shelter expenses. Household spends 0.0 on dependent care. Household receives 0 in child support. Household pays 0 in utilities. The total gross income was: 2723. while the net income was: 2002.0 That gross and net income were calculated with multiple factors. the reported gross and net income were 2723 and 2001 respectively.  Income was determined by various inputs. including wages (2723). earned income (2723). self employment income (0). other earned income (0). income from contributions (0). child support (0). unearned income (0). other unearned income (0). deemed income (0). income from education grants and loans (0). and income for families participating in foster care (0) Some payments may come from employers that are not part of regular wages. For this household. they received workers compensation (0). and wage supplementation (0) It also takes any government benefit payments into account. such as earned income tax credit (0). energy assistance (0). general assistance programs (0). social security (0). supplemental security benefits (ssi) (i.e. disability benefits) (0). countable payments through temporary assistance for needy families (tanf) (0). unemployment insurance (0). veterans benefits (0). diversion payment (0). and any other government benefits (0).  A households assets are also taken into account. The total assets were determined to be 0.  The value of vehicles was determined to be 0.  It also includes reported liquid assets (0.0). countable liquid assets (0.0). reported other nonliquid assets (0). countable other nonliquid assets (0). reported real property (0). and countable real property (0). 
