,0
10,"5 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the Agency failed to verify required informationAgency failed to verify required informationAgency failed to verify required informationAgency failed to verify required information.  The error was an OverissuanceOverissuanceOverissuanceOverissuance by an amount of $79$79$79$79.  The error was found by Variance clearly identified from case record (documentation from an automated match)LandlordVariance discovered from recipient interviewVariance discovered from recipient interview and is because of the applicants RSDI benefitsShelter deductionChild support payments received from absent parentArithmetic computation and Less income received from this source than budgetedOtherLess income received from this source than budgetedBenefit/allotment/eligibility incorrectly computed and occured on 202108.0202108.0202108.0201208.0  Information given above was verified by Government agency or public records. not automated matchLandlordFrom information provided by recipientFrom information provided by recipient.  
 *** Final Calculated Benefit: $814 *** "
11,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $195 *** "
12,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the Agency failed to verify required information.  The error was an Underissuance by an amount of $550.  The error was found by Variance clearly identified from case record (documentation not from an automated match) and is because of the applicants Shelter deduction and Other and occured on 202002.0  Information given above was verified by From case record (verification not from an automated match).  
 *** Final Calculated Benefit: $159 *** "
13,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $20 *** "
14,"2 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $459 *** "
15,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $250 *** "
16,"2 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the Policy incorrectly appliedInformation not reportedInformation not reportedInformation not reportedInformation not reportedPolicy incorrectly applied.  The error was an OverissuanceOverissuanceOverissuanceOverissuanceOverissuanceOverissuance by an amount of $130$130$130$130$130$130.  The error was found by LandlordVariance discovered from recipient interviewVariance discovered from recipient interviewVariance discovered from recipient interviewVariance discovered from recipient interviewLandlord and is because of the applicants Shelter deductionUnit compositionSSI and/or State SSI supplementCombined gross incomeCombined net incomeArithmetic computation and OtherEligible person(s) with income excludedUnreported source of income (do not use for change in employment status)Incorrect income limit appliedIncorrect income limit appliedOther and occured on 202110.0202110.0202110.0202110.0202110.0202110.0  Information given above was verified by LandlordFrom information provided by recipientFrom case record (verification from an automated match)From information provided by recipientFrom information provided by recipientLandlord.  
 *** Final Calculated Benefit: $109 *** "
17,"2 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $20 *** "
18,"2 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $397 *** "
19,"8 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the Agency failed to verify required informationAgency failed to verify required informationAgency failed to verify required information.  The error was an OverissuanceOverissuanceOverissuance by an amount of $64$64$64.  The error was found by Variance clearly identified from case record (documentation not from an automated match)Variance clearly identified from case record (documentation not from an automated match)Variance clearly identified from case record (documentation not from an automated match) and is because of the applicants Shelter deductionCombined net incomeArithmetic computation and Deduction included that should not have beenOtherOther and occured on 202110.0202110.0202110.0  Information given above was verified by LandlordLandlordLandlord.  
 *** Final Calculated Benefit: $1158 *** "
20,"2 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $459 *** "
21,"3 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Foster care.  Based on Quality Control the error made faulted the Reported information disregarded or not appliedReported information disregarded or not appliedAgency failed to verify required informationArithmetic computation errorArithmetic computation errorArithmetic computation error.  The error was an OverissuanceOverissuanceOverissuanceOverissuanceOverissuanceOverissuance by an amount of $90$90$90$90$90$90.  The error was found by Variance clearly identified from case record (documentation not from an automated match)Variance clearly identified from case record (documentation not from an automated match)Government agency or public records. automated matchOtherOtherOther and is because of the applicants Other unearned incomeUnit compositionUnemployment compensationCombined gross incomeCombined net incomeArithmetic computation and All income from source known but not includedNewborn improperly excludedOtherOtherOtherOther and occured on 202109.0202109.0202109.0202109.0202109.0202109.0  Information given above was verified by From case record (verification not from an automated match)From case record (verification not from an automated match)Government agency or public records. automated matchOtherOtherOther.  
 *** Final Calculated Benefit: $20 *** "
22,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $133 *** "
23,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the Information not reportedOtherInformation not reportedInformation not reportedInformation not reported.  The error was an OverissuanceOverissuanceOverissuanceOverissuanceOverissuance by an amount of $230$230$230$230$230.  The error was found by Variance discovered from recipient interviewVariance discovered from recipient interviewVariance discovered from recipient interviewVariance discovered from recipient interviewVariance discovered from recipient interview and is because of the applicants Wages and salariesStandard utility allowanceCombined gross incomeCombined net incomeArithmetic computation and Unreported source of income (do not use for change in employment status)Deduction included that should not have beenExceeds prescribed limitExceeds prescribed limitOther and occured on 202107.0202012.0202107.0202107.0202107.0  Information given above was verified by From information provided by recipientGovernment agency or public records. not automated matchFrom information provided by recipientFrom information provided by recipientFrom information provided by recipient.  
 *** Final Calculated Benefit: $20 *** "
24,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $250 *** "
25,"4 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the Agency failed to follow up on inconsistent or incomplete informationAgency failed to follow up on inconsistent or incomplete informationAgency failed to follow up on inconsistent or incomplete information.  The error was an UnderissuanceUnderissuanceUnderissuance by an amount of $86$86$86.  The error was found by Variance discovered from recipient interviewVariance discovered from recipient interviewVariance discovered from recipient interview and is because of the applicants Shelter deductionCombined net incomeArithmetic computation and Deduction that should have been included was notTranscription or computation errorsBenefit/allotment/eligibility incorrectly computed and occured on 202104.0202104.0202104.0  Information given above was verified by LandlordLandlordLandlord.  
 *** Final Calculated Benefit: $738 *** "
26,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the Information not reportedInformation not reportedInformation not reported.  The error was an OverissuanceOverissuanceOverissuance by an amount of $230$230$230.  The error was found by Variance discovered from recipient interviewVariance discovered from recipient interviewVariance discovered from recipient interview and is because of the applicants RSDI benefitsCombined gross incomeArithmetic computation and Unreported source of income (do not use for change in employment status)Exceeds prescribed limitOther and occured on 202104.0202104.0202104.0  Information given above was verified by Government agency or public records. not automated matchGovernment agency or public records. not automated matchGovernment agency or public records. not automated match.  
 *** Final Calculated Benefit: $20 *** "
27,"2 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the Information not reportedInformation not reportedArithmetic computation errorArithmetic computation errorArithmetic computation error.  The error was an OverissuanceOverissuanceOverissuanceOverissuanceOverissuance by an amount of $439$439$439$439$439.  The error was found by Variance discovered from recipient interviewVariance discovered from recipient interviewOtherOtherOther and is because of the applicants Wages and salariesEarned income deductionsCombined gross incomeCombined net incomeArithmetic computation and More income received from this source than budgetedDeduction that should have been included was notOtherOtherOther and occured on 202107.0202107.0202107.0202107.0202107.0  Information given above was verified by Government agency or public records. automated matchOtherOtherOtherOther.  
 *** Final Calculated Benefit: $20 *** "
28,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $250 *** "
29,"4 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Social Security Number disqualified.  Based on Quality Control the error made faulted the Information withheld by client (case referred for Intentional Program Violation [IPV] investigationIncomplete or incorrect information provided; agency not required to verify.  The error was an UnderissuanceUnderissuance by an amount of $80$80.  The error was found by Variance clearly identified from case record (documentation not from an automated match)Variance clearly identified from case record (documentation from an automated match) and is because of the applicants Unit compositionChild support payments received from absent parent and Ineligible person(s) includedMore income received from this source than budgeted and occured on 202106.0202106.0  Information given above was verified by From case record (verification not from an automated match)From case record (verification from an automated match).  
 *** Final Calculated Benefit: $534 *** "
30,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $250 *** "
31,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $20 *** "
32,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $20 *** "
33,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $20 *** "
34,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $20 *** "
35,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $250 *** "
36,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $250 *** "
37,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $250 *** "
38,"3 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the Reported information disregarded or not applied.  The error was an Underissuance by an amount of $140.  The error was found by Variance clearly identified from case record (documentation not from an automated match) and is because of the applicants Unit composition and Eligible person(s) with no income. resources. or deductible expenses excluded and occured on 202105.0  Information given above was verified by From case record (verification not from an automated match).  
 *** Final Calculated Benefit: $599 *** "
39,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $34 *** "
40,"2 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefitsone person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the Policy incorrectly appliedReported information disregarded or not appliedOther.  The error was an UnderissuanceUnderissuanceUnderissuance by an amount of $107$107$107.  The error was found by Variance clearly identified from case record (documentation not from an automated match)Variance clearly identified from case record (documentation not from an automated match)Other and is because of the applicants Wages and salariesDependent care deductionArithmetic computation and Averaging not used or incorrectly appliedDeduction that should have been included was notBenefit/allotment/eligibility incorrectly computed and occured on 202108.0202108.0202108.0  Information given above was verified by From information provided by recipientFrom information provided by recipientOther.  
 *** Final Calculated Benefit: $223 *** "
41,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $250 *** "
42,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the Agency failed to follow up on inconsistent or incomplete information.  The error was an Underissuance by an amount of $230.  The error was found by Variance clearly identified from case record (documentation from an automated match) and is because of the applicants Unemployment compensation and Less income received from this source than budgeted and occured on 202110.0  Information given above was verified by From case record (verification from an automated match).  
 *** Final Calculated Benefit: $250 *** "
43,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $250 *** "
44,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $219 *** "
45,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $87 *** "
46,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants Standard utility allowance and Deduction included that should not have been and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $250 *** "
47,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the Information not reportedInformation not reportedPolicy incorrectly appliedInformation not reportedInformation not reportedInformation not reported.  The error was an OverissuanceOverissuanceOverissuanceOverissuanceOverissuanceOverissuance by an amount of $230$230$230$230$230$230.  The error was found by Variance discovered from recipient interviewVariance discovered from recipient interviewVariance clearly identified from case record (documentation from an automated match)Variance clearly identified from case record (documentation not from an automated match)Variance discovered from recipient interviewVariance discovered from recipient interview and is because of the applicants Wages and salariesEarned income deductionsStandard utility allowanceArithmetic computationCombined gross incomeCombined net income and Employment status changed from unemployed to employedDeduction that should have been included was notDeduction included that should not have beenBenefit/allotment/eligibility incorrectly computedExceeds prescribed limitExceeds prescribed limit and occured on 202108.0202108.0202108.0202108.0202108.0202108.0  Information given above was verified by From case record (verification from an automated match)From case record (verification from an automated match)From case record (verification from an automated match)From case record (verification from an automated match)From case record (verification from an automated match)From case record (verification from an automated match).  
 *** Final Calculated Benefit: $20 *** "
48,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the not listed by QC reviewer.  The error was an did not state if dollar amount was an over or under issuance by an amount of none of the variances were listed.  The error was found by not listed and is because of the applicants not given and the nature of variance is not given and occured on an unknown date  Information given above was verified by demographics.  
 *** Final Calculated Benefit: $160 *** "
49,"1 individual(s) listed in this SNAP application.  In the application one person is a(n) Eligible member of SNAP case under review and entitled to receive benefits.  Based on Quality Control the error made faulted the Data entry and/or coding errorData entry and/or coding errorOtherOtherOtherOther.  The error was an UnderissuanceUnderissuanceUnderissuanceUnderissuanceUnderissuanceUnderissuance by an amount of $122$122$122$122$122$122.  The error was found by Variance discovered from recipient interviewVariance discovered from recipient interviewVariance discovered from recipient interviewVariance discovered from recipient interviewVariance discovered from recipient interviewVariance discovered from recipient interview and is because of the applicants RSDI benefitsSSI and/or State SSI supplementCombined gross incomeCombined net incomeArithmetic computationShelter deduction and OtherOtherOtherOtherOtherOther and occured on 202101.0202101.0202101.0202101.0202101.0202101.0  Information given above was verified by Government agency or public records. not automated matchGovernment agency or public records. not automated matchGovernment agency or public records. not automated matchLandlordOtherLandlord.  
 *** Final Calculated Benefit: $168 *** "
